,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital instability (1983),marital instability (1988),marital instability (1992),marital instability (2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
1730,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,"\$40,000 - \$49,999","\$25,000 - \$29,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
1736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$90,000 - \$99,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
1738,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.699999988079071,0.3000000119209289,0.0,0.0,"\$80,000 - \$89,999","\$80,000 - \$89,999","Under \$20,000","\$60,000 - \$69,999"
1739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.3000000119209289,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
1740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
1741,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.699999988079071,0.3000000119209289,0.949999988079071,"\$80,000 - \$89,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$40,000 - \$49,999","\$25,000 - \$29,999","Under \$20,000"
1745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.8500000238418579,"\$100,000 or More","\$30,000 - \$39,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$50,000 - \$59,999","\$50,000 - \$59,999"
1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$20,000 - \$29,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1758,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.1100000143051147,1.0800000429153442,0.3000000119209289,0.8500000238418579,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
1763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4799999892711639,0.0,0.0,0.3000000119209289,"\$100,000 or More","\$60,000 - \$69,999","\$60,000 - \$69,999","\$25,000 - \$29,999"
1773,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
1775,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4799999892711639,0.0,0.0,"\$30,000 - \$39,999","Under \$20,000","\$30,000 - \$39,999","\$30,000 - \$39,999"
1776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.3000000119209289,0.0,0.0,"\$60,000 - \$69,999","\$30,000 - \$39,999","\$25,000 - \$29,999","Under \$20,000"
1780,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4799999892711639,0.0,0.3000000119209289,0.0,"\$60,000 - \$69,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$25,000 - \$29,999","\$25,000 - \$29,999","Under \$20,000"
1792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.3000000119209289,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
1800,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4799999892711639,0.0,0.4799999892711639,0.0,"\$100,000 or More","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
1804,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,3.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
1807,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.4799999892711639,1.2799999713897705,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
1809,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.949999988079071,0.949999988079071,0.0,"\$70,000 - \$79,999","\$60,000 - \$69,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
1810,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.4799999892711639,"\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
1811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$20,000 - \$29,999","\$20,000 - \$29,999","\$30,000 - \$39,999"
1812,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0800000429153442,1.0399999618530271,0.4799999892711639,0.699999988079071,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
1816,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$40,000 - \$49,999","\$40,000 - \$49,999","\$40,000 - \$49,999"
1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,"\$100,000 or More","\$70,000 - \$79,999","\$40,000 - \$49,999","\$50,000 - \$59,999"
1819,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
1824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.4799999892711639,0.0,0.0,"\$40,000 - \$49,999","\$50,000 - \$59,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
1832,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8500000238418579,0.8500000238418579,0.949999988079071,0.0,"\$80,000 - \$89,999","\$25,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
1836,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$20,000 - \$29,999","Under \$20,000","Under \$20,000"
1840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$50,000 - \$59,999","\$60,000 - \$69,999"
